Accession,Character,Value
CHSY60,Color,R
CHSY60,Awned,A
CHSY60,Chaff,bright
CHSY60,Height,short
CHSY60,Species,aestivum
CHSY61,Hardness,H
CHSY61,Growth habit,S
CHSY61,Color,R
CHSY61,Awned,A
CHSY61,Chaff,bright
CHSY61,Height,short
CHSY61,Species,aestivum
CHSY62,Hardness,H
CHSY62,Growth habit,S
CHSY62,Color,R
CHSY62,Awned,A
CHSY62,Chaff,bright
CHSY62,Height,short
CHSY62,Species,aestivum
CHSY63,Hardness,H
CHSY63,Growth habit,S
CHSY63,Color,R
CHSY63,Awned,A
CHSY63,Chaff,bright
CHSY63,Height,short
CHSY63,Species,aestivum
CHSY64,Hardness,H
CHSY64,Growth habit,S
CHSY64,Color,R
CHSY64,Awned,A
CHSY64,Chaff,bright
CHSY64,Height,short
CHSY64,Species,aestivum
CHSY65,Hardness,H
CHSY65,Growth habit,S
CHSY65,Color,R
CHSY65,Awned,A
CHSY65,Chaff,bright
CHSY65,Height,short
CHSY65,Species,aestivum
CHSY66,Hardness,H
CHSY66,Growth habit,S
CHSY66,Color,R
CHSY66,Awned,A
CHSY66,Chaff,bright
CHSY66,Height,short
CHSY66,Species,aestivum
CHSY67,Hardness,H
CHSY67,Growth habit,S
CHSY67,Color,R
CHSY67,Awned,A
CHSY67,Chaff,bright
CHSY67,Height,short
CHSY67,Species,aestivum
CHSY68,Hardness,H
CHSY68,Growth habit,S
CHSY68,Color,R
CHSY68,Awned,A
CHSY68,Chaff,bright
CHSY68,Height,short
CHSY68,Species,aestivum
CHSY69,Hardness,H
CHSY69,Growth habit,S
CHSY69,Color,R
CHSY69,Awned,A
CHSY69,Chaff,bright
CHSY69,Height,short
CHSY69,Species,aestivum
CHSY7,Hardness,H
CHSY7,Growth habit,S
CHSY7,Color,R
CHSY7,Awned,A
CHSY7,Chaff,bright
CHSY7,Height,short
CHSY7,Species,aestivum
CHSY70,Hardness,H
CHSY70,Growth habit,S
CHSY70,Color,R
CHSY70,Awned,A
CHSY70,Chaff,bright
CHSY70,Height,short
CHSY70,Species,aestivum
CHSY71,Hardness,H
CHSY71,Growth habit,S
CHSY71,Color,R
CHSY71,Awned,A
CHSY71,Chaff,bright
CHSY71,Height,short
CHSY71,Species,aestivum
CHSY73,Hardness,H
CHSY73,Growth habit,S
CHSY73,Color,R
CHSY73,Awned,A
CHSY73,Chaff,bright
CHSY73,Height,short
CHSY73,Species,aestivum
CHSY74,Hardness,H
CHSY74,Growth habit,S
CHSY74,Color,R
CHSY74,Awned,A
CHSY74,Chaff,bright
CHSY74,Height,short
CHSY74,Species,aestivum
CHSY75,Hardness,H
CHSY75,Growth habit,S
CHSY75,Color,R
CHSY75,Awned,A
CHSY75,Chaff,bright
CHSY75,Height,short
CHSY75,Species,aestivum
CHSY76,Hardness,H
CHSY76,Growth habit,S
CHSY76,Color,R
CHSY76,Awned,A
CHSY76,Chaff,bright
CHSY76,Height,short
CHSY76,Species,aestivum
CHSY77,Hardness,H
CHSY77,Growth habit,S
CHSY77,Color,R
CHSY77,Awned,A
CHSY77,Chaff,bright
CHSY77,Height,short
CHSY77,Species,aestivum
CHSY78,Hardness,H
CHSY78,Growth habit,S
CHSY78,Color,R
CHSY78,Awned,A
CHSY78,Chaff,bright
CHSY78,Height,short
CHSY78,Species,aestivum
CHSY79,Hardness,H
CHSY79,Growth habit,S
CHSY79,Color,R
CHSY79,Awned,A
CHSY79,Chaff,bright
CHSY79,Height,short
CHSY79,Species,aestivum
CHSY8,Hardness,H
CHSY8,Growth habit,S
CHSY8,Color,R
CHSY8,Awned,A
CHSY8,Chaff,bright
CHSY8,Height,short
CHSY8,Species,aestivum
CHSY80,Hardness,H
CHSY80,Growth habit,S
CHSY80,Color,R
CHSY80,Awned,A
CHSY80,Chaff,bright
CHSY80,Height,short
CHSY80,Species,aestivum
CHSY81,Hardness,H
CHSY81,Growth habit,S
CHSY81,Color,R
CHSY81,Awned,A
CHSY81,Chaff,bright
CHSY81,Height,short
CHSY81,Species,aestivum
CHSY82,Hardness,H
CHSY82,Growth habit,S
CHSY82,Color,R
CHSY82,Awned,A
CHSY82,Chaff,bright
CHSY82,Height,short
CHSY82,Species,aestivum
CHSY83,Hardness,H
CHSY83,Growth habit,S
CHSY83,Color,R
CHSY83,Awned,A
CHSY83,Chaff,bright
CHSY83,Height,short
CHSY83,Species,aestivum
CHSY84,Hardness,H
CHSY84,Growth habit,S
CHSY84,Color,R
CHSY84,Awned,A
CHSY84,Chaff,bright
CHSY84,Height,short
CHSY84,Species,aestivum
CHSY85,Hardness,H
CHSY85,Growth habit,S
CHSY85,Color,R
CHSY85,Awned,A
CHSY85,Chaff,bright
CHSY85,Height,short
CHSY85,Species,aestivum
CHSY86,Hardness,H
CHSY86,Growth habit,S
CHSY86,Color,R
CHSY86,Awned,A
CHSY86,Chaff,bright
CHSY86,Height,short
CHSY86,Species,aestivum
CHSY87,Hardness,H
CHSY87,Growth habit,S
CHSY87,Color,R
CHSY87,Awned,A
CHSY87,Chaff,bright
CHSY87,Height,short
CHSY87,Species,aestivum
CHSY88,Hardness,H
CHSY88,Growth habit,S
CHSY88,Color,R
CHSY88,Awned,A
CHSY88,Chaff,bright
CHSY88,Height,short
CHSY88,Species,aestivum
CHSY89,Hardness,H
CHSY89,Growth habit,S
CHSY89,Color,R
CHSY89,Awned,A
CHSY89,Chaff,bright
CHSY89,Height,short
CHSY89,Species,aestivum
CHSY9,Hardness,H
CHSY9,Growth habit,S
CHSY9,Color,R
CHSY9,Awned,A
CHSY9,Chaff,bright
CHSY9,Height,short
CHSY9,Species,aestivum
CHSY90,Hardness,H
CHSY90,Growth habit,S
CHSY90,Color,R
CHSY90,Awned,A
CHSY90,Chaff,bright
CHSY90,Height,short
CHSY90,Species,aestivum
CHSY91,Hardness,H
CHSY91,Growth habit,S
CHSY91,Color,R
CHSY91,Awned,A
CHSY91,Chaff,bright
CHSY91,Height,short
CHSY91,Species,aestivum
CHSY92,Hardness,H
CHSY92,Growth habit,S
CHSY92,Color,R
CHSY92,Awned,A
CHSY92,Chaff,bright
CHSY92,Height,short
CHSY92,Species,aestivum
CHSY93,Hardness,H
CHSY93,Growth habit,S
CHSY93,Color,R
CHSY93,Awned,A
CHSY93,Chaff,bright
CHSY93,Height,short
CHSY93,Species,aestivum
CHSY94,Hardness,H
CHSY94,Growth habit,S
CHSY94,Color,R
CHSY94,Awned,A
CHSY94,Chaff,bright
CHSY94,Height,short
CHSY94,Species,aestivum
CHSY95,Hardness,H
CHSY95,Growth habit,S
CHSY95,Color,R
CHSY95,Awned,A
CHSY95,Chaff,bright
CHSY95,Height,short
CHSY95,Species,aestivum
CHSY96,Hardness,H
CHSY96,Growth habit,S
CHSY96,Color,R
CHSY96,Awned,A
CHSY96,Chaff,bright
CHSY96,Height,short
CHSY96,Species,aestivum
CHSY97,Hardness,H
CHSY97,Growth habit,S
CHSY97,Color,R
CHSY97,Awned,A
CHSY97,Chaff,bright
CHSY97,Height,short
CHSY97,Species,aestivum
CHSY98,Hardness,H
CHSY98,Growth habit,S
CHSY98,Color,R
CHSY98,Awned,A
CHSY98,Chaff,bright
CHSY98,Height,short
CHSY98,Species,aestivum
CHSY99,Hardness,H
CHSY99,Growth habit,S
CHSY99,Color,R
CHSY99,Awned,A
CHSY99,Chaff,bright
CHSY99,Height,short
CHSY99,Species,aestivum
CHUANMAI26,Growth habit,S
CHUANMAI26,Species,aestivum
CHUANMAI28,Growth habit,W
CHUANMAI28,Species,aestivum
CHUKAR,Growth habit,W
CHUKAR,Species,other
CHUL,Growth habit,S
CHUL,Rht-B1b,A
CHUL,Rht-D1b,A
CHUL,Ppd-D1a,A
CHUL,Species,aestivum
CHUMPE_BARBA_NEGRA,Growth habit,F
CHUMPE_BARBA_NEGRA,Species,durum
CHUMPE_NEGRO,Growth habit,S
CHUMPE_NEGRO,Rht-B1b,A
CHUMPE_NEGRO,Rht-D1b,A
CHUMPE_NEGRO,Species,durum
CI10107,Growth habit,S
CI10107,Rht-B1b,A
CI10107,Rht-D1b,A
CI10107,Ppd-D1a,A
CI10107,Species,durum
CI10112,Growth habit,S
CI10112,Rht-D1b,A
CI10112,Ppd-D1a,A
CI10112,Species,aestivum
CI13113,Growth habit,W
CI13113,Species,aestivum
CI13227,Growth habit,W
CI13227,Rht-B1b,A
CI13227,Rht-D1b,A
CI13227,Ppd-D1a,A
CI13227,Species,aestivum
CI13227,Rht-8c,A
CI13227,Bdv2/3,A
CI13227,Fhb1,A
CI13227,Lr34/Yr18/Pm38,A
CI13227,Lr37/Yr17/Sr38,A
CI13227,Sbm1,A
CI13227,Sr2,A
CI13227,Sr24/Lr24,A
CI13227,Sr36,A
CI13227,1RS:1AL,A
CI13227,1RS:1BL,A
CI13227,Ax1 or null allele,A
CI13227,Ax2* allele,P
CI13227,Bx7 over-expressing,A
CI13227,Glu 2+12 allele,A
CI13227,Glu 5+10 allele,P
CI13227,Lr19/Sr25,A
CI13227,Lr21,A
CI13227,Pina-D1b,A
CI13227,Pinb-D1b,P
CI13227,ALMT1,A
CI13227,Lr42,A
CI13227,Lr67,A
CI13227,Lr68,P
CI13227,Sr22,A
CI13227,Sr26,A
CI13227,Sr35,A
CI13227,Yr15,A
CI13227,Wsm1,A
CI13227,Wsm2,A
CI13227,Glu-B3c,A
CI13227,HGPC/Yr36,A
CI13227,PHS 3AS,A
CI13227,Ppo-A1b,H
CI13227,Ppo-D1a,H
CI13227,Wx-B1b,A
CI13227,Wx-D1b,A
CI13227R,Growth habit,W
CI13227R,Species,aestivum
CI14079,Growth habit,W
CI14079,Rht-D1b,A
CI14079,Ppd-D1a,A
CI14079,Species,aestivum
CI14080,Growth habit,S
CI14080,Rht-D1b,A
CI14080,Species,durum
CI14081,Growth habit,S
CI14081,Rht-B1b,A
CI14081,Rht-D1b,A
CI14081,Ppd-D1a,A
CI14081,Species,aestivum
CI14083,Growth habit,S
CI14083,Rht-D1b,A
CI14083,Species,aestivum
CI14086,Species,other
CI14087,Growth habit,S
CI14087,Rht-B1b,A
CI14087,Rht-D1b,A
CI14087,Ppd-D1a,A
CI14087,Species,aestivum
CI14091,Growth habit,S
CI14091,Rht-D1b,A
CI14091,Species,durum
CI14093,Growth habit,S
CI14093,Rht-D1b,A
CI14093,Species,durum
CI14094,Growth habit,S
CI14094,Rht-D1b,A
CI14094,Species,durum
CI14133,Species,other
CI14139,Species,other
CI14151,Growth habit,F
CI14151,Rht-B1b,A
CI14151,Rht-D1b,A
CI14151,Ppd-D1a,A
CI14151,Species,aestivum
CI14251,Growth habit,S
CI14251,Rht-B1b,A
CI14251,Rht-D1b,A
CI14251,Ppd-D1a,A
CI14251,Species,aestivum
CI14919,Species,other
CI14954,Growth habit,S
CI14954,Rht-D1b,A
CI14954,Species,durum
CI14964,Growth habit,S
CI14964,Rht-B1b,A
CI14964,Rht-D1b,A
CI14964,Ppd-D1a,A
CI14964,Species,aestivum
CI14965,Growth habit,S
CI14965,Rht-B1b,A
CI14965,Rht-D1b,A
CI14965,Species,durum
CI15069,Growth habit,W
CI15069,Rht-B1b,A
CI15069,Rht-D1b,A
CI15069,Ppd-D1a,A
CI15069,Species,aestivum
CI17737,Species,other
CI2401,Growth habit,W
CI2401,Rht-B1b,A
CI2401,Rht-D1b,A
CI2401,Ppd-D1a,A
CI2401,Species,aestivum
CI2608,Growth habit,F
CI2608,Rht-B1b,A
CI2608,Rht-D1b,A
CI2608,Ppd-D1a,A
CI2608,Species,aestivum
CI2804,Growth habit,S
CI2804,Rht-B1b,A
CI2804,Rht-D1b,A
CI2804,Ppd-D1a,A
CI2804,Species,aestivum
CI4203,Growth habit,S
CI4203,Rht-B1b,A
CI4203,Rht-D1b,A
CI4203,Ppd-D1a,A
CI4203,Species,aestivum
CI5478,Growth habit,S
CI5478,Rht-B1b,A
CI5478,Rht-D1b,A
CI5478,Ppd-D1a,A
CI5478,Species,aestivum
CI6500,Growth habit,S
CI6500,Rht-B1b,A
CI6500,Rht-D1b,A
CI6500,Ppd-D1a,A
CI6500,Species,aestivum
CI6698,Growth habit,W
CI6698,Rht-B1b,A
CI6698,Rht-D1b,A
CI6698,Ppd-D1a,A
CI6698,Species,aestivum
CI7040,Growth habit,S
CI7040,Awned,N
CI7040,Rht-B1b,A
CI7040,Rht-D1b,A
CI7040,Ppd-D1a,A
CI7040,Species,aestivum
CI7041,Species,other
CI7092,Growth habit,W
CI7092,Rht-B1b,A
CI7092,Rht-D1b,A
CI7092,Ppd-D1a,A
CI7092,Species,aestivum
CI7094,Growth habit,S
CI7094,Rht-B1b,A
CI7094,Rht-D1b,A
CI7094,Ppd-D1a,A
CI7094,Species,aestivum
CI7104,Growth habit,W
CI7104,Rht-D1b,A
CI7104,Ppd-D1a,A
CI7104,Species,aestivum
CI7106,Rht-D1b,A
CI7106,Ppd-D1a,A
CI7106,Species,aestivum
CI7109,Growth habit,F
CI7109,Rht-B1b,A
CI7109,Rht-D1b,A
CI7109,Ppd-D1a,A
CI7109,Species,aestivum
CI7111,Growth habit,W
CI7111,Rht-D1b,A
CI7111,Ppd-D1a,A
CI7111,Species,aestivum
CI7112,Growth habit,F
CI7112,Rht-D1b,A
CI7112,Ppd-D1a,A
CI7112,Species,aestivum
CI7113,Growth habit,S
CI7113,Rht-B1b,A
CI7113,Rht-D1b,A
CI7113,Ppd-D1a,A
CI7113,Species,aestivum
CI7118,Growth habit,F
CI7118,Rht-D1b,A
CI7118,Ppd-D1a,A
CI7118,Species,aestivum
CI7123,Rht-B1b,A
CI7123,Rht-D1b,A
CI7123,Ppd-D1a,A
CI7123,Species,aestivum
CI7128,Growth habit,W
CI7128,Rht-B1b,A
CI7128,Rht-D1b,A
CI7128,Ppd-D1a,A
CI7128,Species,aestivum
CI7129,Growth habit,S
CI7129,Rht-B1b,A
CI7129,Rht-D1b,A
CI7129,Ppd-D1a,A
CI7129,Species,aestivum
CI7132,Growth habit,W
CI7132,Rht-B1b,A
CI7132,Rht-D1b,A
CI7132,Ppd-D1a,A
CI7132,Species,aestivum
CI7590,Growth habit,F
CI7590,Rht-B1b,A
CI7590,Rht-D1b,A
CI7590,Ppd-D1a,A
CI7590,Species,aestivum
CI7605,Growth habit,S
CI7605,Rht-B1b,A
CI7605,Rht-D1b,A
CI7605,Ppd-D1a,A
CI7605,Species,aestivum
CI7611,Growth habit,S
CI7611,Rht-B1b,A
CI7611,Rht-D1b,A
CI7611,Ppd-D1a,A
CI7611,Species,aestivum
CI7641,Growth habit,S
CI7641,Rht-B1b,A
CI7641,Rht-D1b,A
CI7641,Ppd-D1a,A
CI7641,Species,aestivum
CI7648,Growth habit,F
CI7648,Rht-B1b,A
CI7648,Rht-D1b,A
CI7648,Ppd-D1a,A
CI7648,Species,aestivum
CI7652,Growth habit,S
CI7652,Rht-B1b,A
CI7652,Rht-D1b,A
CI7652,Ppd-D1a,A
CI7652,Species,aestivum
CI7664,Growth habit,F
CI7664,Rht-B1b,A
CI7664,Rht-D1b,A
CI7664,Ppd-D1a,A
CI7664,Species,aestivum
CI7665,Species,other
CI7669,Growth habit,S
CI7669,Rht-D1b,A
CI7669,Species,durum
CI7688,Species,other
CI8118,Growth habit,S
CI8118,Rht-B1b,A
CI8118,Rht-D1b,A
CI8118,Ppd-D1a,A
CI8118,Species,aestivum
CI8361,Growth habit,S
CI8361,Rht-B1b,A
CI8361,Rht-D1b,A
CI8361,Ppd-D1a,A
CI8361,Species,aestivum
CI8363,Growth habit,W
CI8363,Rht-B1b,A
CI8363,Rht-D1b,A
CI8363,Ppd-D1a,A
CI8363,Species,aestivum
CI9182,Growth habit,W
CI9182,Rht-D1b,A
CI9182,Ppd-D1a,A
CI9182,Species,aestivum
CIANO67,Growth habit,S
CIANO67,Awned,A
CIANO67,Rht-B1b,P
CIANO67,Rht-D1b,A
CIANO67,Ppd-D1a,P
CIANO67,Species,aestivum
CICIN186,Growth habit,W
CICIN186,Rht-B1b,A
CICIN186,Rht-D1b,A
CICIN186,Ppd-D1a,A
CICIN186,Species,aestivum
CIENTO_CINQUENTO,Growth habit,S
CIENTO_CINQUENTO,Rht-B1b,A
CIENTO_CINQUENTO,Rht-D1b,A
CIENTO_CINQUENTO,Ppd-D1a,A
CIENTO_CINQUENTO,Species,aestivum
CIGM90.1291,Growth habit,S
CIGM90.1291,Awned,A
CIGM90.1291,Rht-B1b,P
CIGM90.1291,Rht-D1b,P
CIGM90.1291,Ppd-D1a,A
CIGM90.1291,Species,aestivum
CIGM90.248-1,Growth habit,S
CIGM90.248-1,Rht-B1b,P
CIGM90.248-1,Rht-D1b,P
CIGM90.248-1,Ppd-D1a,A
CIGM90.248-1,Species,aestivum
CIGM90.250.2,Growth habit,S
CIGM90.250.2,Species,aestivum
CIGM90.412,Growth habit,S
CIGM90.412,Awned,A
CIGM90.412,Rht-B1b,P
CIGM90.412,Rht-D1b,A
CIGM90.412,Ppd-D1a,P
CIGM90.412,Species,aestivum
CIGM90.483,Growth habit,S
CIGM90.483,Awned,A
CIGM90.483,Rht-B1b,P
CIGM90.483,Rht-D1b,P
CIGM90.483,Ppd-D1a,A
CIGM90.483,Species,aestivum
CIGM91.153,Growth habit,S
CIGM91.153,Species,aestivum
CIGM91.344-1,Growth habit,S
CIGM91.344-1,Awned,A
CIGM91.344-1,Rht-B1b,P
CIGM91.344-1,Rht-D1b,P
CIGM91.344-1,Ppd-D1a,A
CIGM91.344-1,Species,aestivum
CIGM91.345-3,Growth habit,S
CIGM91.345-3,Rht-B1b,P
CIGM91.345-3,Rht-D1b,P
CIGM91.345-3,Ppd-D1a,A
CIGM91.345-3,Species,aestivum
CIGM91.345-5,Growth habit,S
CIGM91.345-5,Awned,A
CIGM91.345-5,Rht-B1b,P
CIGM91.345-5,Rht-D1b,P
CIGM91.345-5,Ppd-D1a,A
CIGM91.345-5,Species,aestivum
CIGM91.347-3,Species,durum
CIGM91.347-7,Species,durum
CIGM91.61-1,Growth habit,S
CIGM91.61-1,Rht-B1b,P
CIGM91.61-1,Rht-D1b,P
CIGM91.61-1,Ppd-D1a,A
CIGM91.61-1,Species,aestivum
CIGM98.748-1,Growth habit,S
CIGM98.748-1,Awned,A
CIGM98.748-1,Rht-B1b,P
CIGM98.748-1,Rht-D1b,A
CIGM98.748-1,Ppd-D1a,P
CIGM98.748-1,Species,aestivum
CIGM98.750-1,Growth habit,S
CIGM98.750-1,Awned,A
CIGM98.750-1,Rht-B1b,P
CIGM98.750-1,Rht-D1b,A
CIGM98.750-1,Ppd-D1a,P
CIGM98.750-1,Species,aestivum
CIGM98.752-1,Growth habit,S
CIGM98.752-1,Awned,A
CIGM98.752-1,Rht-B1b,P
CIGM98.752-1,Rht-D1b,P
CIGM98.752-1,Ppd-D1a,A
CIGM98.752-1,Species,aestivum
CIGM98.759-1,Growth habit,S
CIGM98.759-1,Awned,A
CIGM98.759-1,Rht-B1b,P
CIGM98.759-1,Rht-D1b,P
CIGM98.759-1,Ppd-D1a,A
CIGM98.759-1,Species,aestivum
CIGM98.762-2,Growth habit,S
CIGM98.762-2,Awned,A
CIGM98.762-2,Rht-B1b,P
CIGM98.762-2,Rht-D1b,A
CIGM98.762-2,Ppd-D1a,P
CIGM98.762-2,Species,aestivum
CIM15,Growth habit,S
CIM15,Species,aestivum
CIM21,Growth habit,S
CIM21,Species,aestivum
CIM36,Growth habit,S
CIM36,Species,aestivum
CIM4,Growth habit,S
CIM4,Species,aestivum
CIMMYT-A01,Growth habit,S
CIMMYT-A01,Species,aestivum
CIMMYT-A02,Growth habit,S
CIMMYT-A02,Species,aestivum
CIMMYT-A03,Growth habit,S
CIMMYT-A03,Species,aestivum
CIMMYT-A04,Growth habit,S
CIMMYT-A04,Species,aestivum
CIMMYT-B01,Growth habit,S
CIMMYT-B01,Species,aestivum
CIMMYT-B02,Growth habit,S
CIMMYT-B02,Species,aestivum
CIMMYT-B03,Growth habit,S
CIMMYT-B03,Species,aestivum
CIMMYT-B04,Growth habit,S
CIMMYT-B04,Species,aestivum
CIMMYT-C01,Growth habit,S
CIMMYT-C01,Species,aestivum
CIMMYT-C02,Growth habit,S
CIMMYT-C02,Species,aestivum
CIMMYT-C03,Growth habit,S
CIMMYT-C03,Species,aestivum
CIMMYT-C04,Growth habit,S
CIMMYT-C04,Species,aestivum
CIMMYT-D01,Growth habit,S
CIMMYT-D01,Species,aestivum
CIMMYT-D02,Growth habit,S
CIMMYT-D02,Species,aestivum
CIMMYT-D03,Growth habit,S
CIMMYT-D03,Species,aestivum
CIMMYT-D04,Growth habit,S
CIMMYT-D04,Species,aestivum
CIMMYT-E01,Growth habit,S
CIMMYT-E01,Species,aestivum
CIMMYT-E02,Growth habit,S
CIMMYT-E02,Species,aestivum
CIMMYT-E03,Growth habit,S
CIMMYT-E03,Species,aestivum
CIMMYT-E04,Growth habit,S
CIMMYT-E04,Species,aestivum
CIMMYT-F01,Growth habit,S
CIMMYT-F01,Species,aestivum
CIMMYT-F02,Growth habit,S
CIMMYT-F02,Species,aestivum
CIMMYT-F03,Growth habit,S
CIMMYT-F03,Species,aestivum
CIMMYT-F04,Growth habit,S
CIMMYT-F04,Species,aestivum
CIMMYT-G01,Growth habit,S
CIMMYT-G01,Species,aestivum
CIMMYT-G02,Growth habit,S
CIMMYT-G02,Species,aestivum
CIMMYT-G03,Growth habit,S
CIMMYT-G03,Species,aestivum
CIMMYT-G04,Growth habit,S
CIMMYT-G04,Species,aestivum
CIMMYT-H01,Growth habit,S
CIMMYT-H01,Species,aestivum
CIMMYT-H02,Growth habit,S
CIMMYT-H02,Species,aestivum
CIMMYT-H03,Growth habit,S
CIMMYT-H03,Species,aestivum
CINCO_A,Growth habit,S
CINCO_A,Awned,A
CINCO_A,Rht-B1b,A
CINCO_A,Rht-D1b,A
CINCO_A,Ppd-D1a,A
CINCO_A,Species,aestivum
CINCO_B,Growth habit,S
CINCO_B,Awned,N
CINCO_B,Rht-B1b,A
CINCO_B,Rht-D1b,A
CINCO_B,Ppd-D1a,A
CINCO_B,Species,aestivum
CITR10108,Growth habit,W
CITR10108,Rht-D1b,A
CITR10108,Species,durum
CITR10109,Growth habit,S
CITR10109,Rht-B1b,A
CITR10109,Rht-D1b,A
CITR10109,Species,durum
CITR10911,Growth habit,W
CITR10911,Species,aestivum
CITR12212,Growth habit,S
CITR12212,Species,aestivum
CITR13921,Growth habit,W
CITR13921,Species,other
CITR14082,Growth habit,W
CITR14082,Color,W
CITR14082,Awned,A
CITR14082,Species,other
CITR14084,Growth habit,W
CITR14084,Color,R
CITR14084,Awned,A
CITR14084,Species,durum
CITR14138,Growth habit,W
CITR14138,Species,other
CITR14695,Growth habit,S
CITR14695,Species,aestivum
CITR14748,Growth habit,S
CITR14748,Species,aestivum
CITR15017,Growth habit,F
CITR15017,Species,aestivum
CITR15025,Growth habit,S
CITR15025,Species,aestivum
CITR15026,Growth habit,S
CITR15026,Species,aestivum
CITR15048,Growth habit,S
CITR15048,Species,aestivum
CITR15071,Growth habit,W
CITR15071,Species,other
CITR17823,Species,other
CITR2431,Species,other
CITR3035,Growth habit,S
CITR3035,Species,aestivum
CITR4075,Growth habit,S
CITR4075,Rht-B1b,A
CITR4075,Rht-D1b,A
CITR4075,Ppd-D1a,A
CITR4075,Species,aestivum
CITR4311,Growth habit,S
CITR4311,Species,aestivum
CITR4528,Growth habit,W
CITR4528,Species,aestivum
CITR4529,Growth habit,S
CITR4529,Species,aestivum
CITR4530,Growth habit,S
CITR4530,Species,aestivum
CITR4924,Growth habit,S
CITR4924,Species,aestivum
CITR6530,Growth habit,S
CITR6530,Rht-B1b,A
CITR6530,Rht-D1b,A
CITR6530,Ppd-D1a,A
CITR6530,Species,aestivum
CITR7042,Species,other
CITR7119,Growth habit,F
CITR7119,Rht-B1b,A
CITR7119,Rht-D1b,A
CITR7119,Ppd-D1a,A
CITR7119,Species,aestivum
CITR7141,Growth habit,S
CITR7141,Rht-D1b,A
CITR7141,Species,durum
CITR7635,Growth habit,S
CITR7635,Rht-B1b,A
CITR7635,Rht-D1b,A
CITR7635,Ppd-D1a,A
CITR7635,Species,aestivum
CITR7710,Growth habit,S
CITR7710,Species,aestivum
CITR7741,Growth habit,S
CITR7741,Species,aestivum
CITR7795,Growth habit,W
CITR7795,Species,other
CITR7875,Species,other
CITR7945,Species,other
CITR8160,Growth habit,S
CITR8160,Species,aestivum
CITR8347,Growth habit,S
CITR8347,Species,aestivum
CITR8359,Growth habit,S
CITR8359,Species,aestivum
CITR8360,Growth habit,S
CITR8360,Species,aestivum
CITR8606,Growth habit,W
CITR8606,Species,aestivum
CITR8610,Growth habit,W
CITR8610,Species,other
CITR8613,Growth habit,W
CITR8613,Species,aestivum
CIVITELLA204,Growth habit,W
CIVITELLA204,Species,durum
CJ9311,Growth habit,S
CJ9311,Species,aestivum
CJLUGAS,Growth habit,S
CJLUGAS,Awned,N
CJLUGAS,Rht-B1b,A
CJLUGAS,Rht-D1b,A
CJLUGAS,Ppd-D1a,A
CJLUGAS,Species,aestivum
CLARA_CL,Hardness,H
CLARA_CL,Growth habit,W
CLARA_CL,Color,W
CLARA_CL,Ppd-D1a,A
CLARA_CL,Species,aestivum
CLARA_CL,Lr34/Yr18/Pm38,A
CLARA_CL,Lr37/Yr17/Sr38,A
CLARA_CL,Sr2,A
CLARA_CL,Sr24/Lr24,P
CLARA_CL,1RS:1AL,A
CLARA_CL,1RS:1BL,A
CLARA_CL,Ax1 or null allele,A
CLARA_CL,Ax2* allele,P
CLARA_CL,Bx7 over-expressing,A
CLARA_CL,Glu 2+12 allele,A
CLARA_CL,Glu 5+10 allele,P
CLARA_CL,Lr21,A
CLARA_CL,ALMT1,A
CLARA_CL,Lr68,A
CLARA_CL,Wsm1,A
CLARA_CL,Wsm2,P
CLARA_CL,PHS 3AS,P
CLARA_CL,Ppo-A1b,A
CLARA_CL,Ppo-D1a,A
CLARA_CL,Wx-A1b,A
CLARA_CL,Wx-B1b,P
CLARK,Hardness,S
CLARK,Growth habit,W
CLARK,Color,R
CLARK,Awned,N
CLARK,Chaff,bright
CLARK,Rht-B1b,P
CLARK,Rht-D1b,A
CLARK,Ppd-D1a,P
CLARK,Species,aestivum
CLARK,Rht-8c,A
CLARK,Bdv2/3,A
CLARK,Fhb1,A
CLARK,Lr34/Yr18/Pm38,A
CLARK,Lr37/Yr17/Sr38,A
CLARK,Sbm1,P
CLARK,Sr2,A
CLARK,Sr24/Lr24,A
CLARK,Sr36,A
CLARK,1RS:1AL,A
CLARK,1RS:1BL,A
CLARK,Ax1 or null allele,P
CLARK,Ax2* allele,A
CLARK,Bx7 over-expressing,A
CLARK,Glu 2+12 allele,P
CLARK,Glu 5+10 allele,A
CLARK,Lr19/Sr25,A
CLARK,Lr21,A
CLARK,Pina-D1b,A
CLARK,Pinb-D1b,A
CLARK,ALMT1,A
CLARK,Lr42,A
CLARK,Lr67,A
CLARK,Lr68,A
CLARK,Sr22,A
CLARK,Sr26,A
CLARK,Sr35,A
CLARK,Yr15,A
CLARK,Wsm1,A
CLARK,Wsm2,A
CLARK,Glu-B3c,A
CLARK,HGPC/Yr36,A
CLARK,PHS 3AS,A
CLARK,Ppo-A1b,P
CLARK,Ppo-D1a,A
CLARK,Wx-A1b,A
CLARK,Wx-B1b,A
CLARK,Wx-D1b,A
CLARKS_CREAM,Rht-B1b,A
CLARKS_CREAM,Rht-D1b,A
CLARKS_CREAM,Species,aestivum
CLARKS_CREAM,Pina-D1b,A
CLARKS_CREAM,Pinb-D1b,P
CLEAR_WHITE,Growth habit,S
CLEAR_WHITE,Species,aestivum
CLEAR_WHITE_515,Hardness,H
CLEAR_WHITE_515,Growth habit,S
CLEAR_WHITE_515,Color,W
CLEAR_WHITE_515,Awned,A
CLEAR_WHITE_515,Height,short
